Restaurant,Description,Hours,Phone,type-of-ordering,button-url,menu-url,gift-card-url,employee-fund,Tags,food-type,operating-status,Email,Created,Last-Updated,Task Table,Update Tasks
Roadhouse Pub & Eatery,To-go food and beer orders may be placed over the phone,12:00 pm - 8:00 p.m.,(307) 739-0700,Order By Phone,tel:(307) 739-0700,https://roadhousebrewery.com/pub-eatery-menu-view.php?id=137,,,"Lunch,Dinner","Booze,Pub Food",Open,,3/21/2020 9:47pm,3/23/2020 8:31pm,27,
Sidewinders,Pickup orders,11:30 a.m.-8 p.m.,(307) 734-5766,Order By Phone,tel:(307) 734-5766,http://sidewindersjh.com/sidewinders-american-grill/#,https://bluecollarjh.ackroo.net/en/gifts/new,,,,Open,,3/21/2020 9:51pm,3/23/2020 8:31pm,28,
Silver Dollar Bar & Grill,"Please call ahead to place your order and we will bring it out to your car on the Broadway entrance. While placing your order, don’t forget to add wine. We are offering half-off select wine bottles to go with your order!",8:00 a.m. -  8:00 p.m.,(307) 732-3939,Order By Phone,tel:307-732-3939,http://wort-hotel.s3.amazonaws.com/CMS/59/online_menus-_during_shutdown.pdf,,,,"Booze,American,Burgers",Open,,3/23/2020 8:37pm,3/23/2020 8:40pm,,
Snake River Brewery,Pace to-go food and beer orders.,12:00 p.m. - 8:00 p.m.,(307) 733-2337,Order By Phone,tel:(307) 733-2337,https://snakeriverbrewing.com/wp-content/uploads/2020/03/corona-menu-take-out.pdf,,,,,Open,,3/21/2020 9:53pm,3/23/2020 8:41pm,29,
Streetfood at the Stagecoach,To-go food only when you order online or by phone.,,(307) 200-6633,Online Menu,https://squareup.com/store/streetfoodjh,,,,,,Open,,3/21/2020 9:53pm,3/23/2020 8:42pm,30,
Suda,,,(307) 201-1616,,,https://sudajh.com/,,,,,Closed,,3/23/2020 8:32pm,3/23/2020 8:34pm,,
Sweet Cheeks Meats,"Shop hours starting Tuesday 3/17: 7:30am-2pm
Available for pick up by appt outside shop hours.
",7:30am - 2pm,(307) 734-6328,Order By Phone,https://www.instagram.com/p/B9_2HtllCS3/,,,,,,Open,,3/19/2020 10:14pm,3/23/2020 8:31pm,31,
Teton Tiger,Call ahead for curbside pickup.,,(307) 733-4111,Order By Phone,tel:(307) 733-4111,http://www.tetontiger.com/,,,,,Open,takeout@tetontiger.com ,3/21/2020 10:02pm,3/23/2020 8:31pm,32,
Thai Me Up,Curbside pickup available,5-9 p.m.,(307) 733-0005,Order By Phone,tel:(307) 733-0005,https://melvinbrewing.com/thai-me-up-2/#food-menu,,,,,Open,,3/21/2020 10:07pm,3/23/2020 8:31pm,33,
The Bird,"We are currently offering To-Go and Delivery orders between the hours of 5:30-8:30pm.  Delivery will have a $10 upcharge.  We are happy to deliver booze to you as well, just ask for pricing when you call.  Please call ahead and we will bring your food out to you.  Credit card transactions will be processed over the phone.

Our menu is subject to change based on our stock and our efforts to reduce our food waste during this time.",5:30 - 8:30pm,(307) 732-2473,Order By Phone,tel:(307) 732-2473,http://www.thebirdinjh.com/menu.html,,,,,Open,,3/19/2020 10:37pm,3/23/2020 8:31pm,34,
The Liquor Store,"New hours of operation: Daily from 10am-9pm
Delivery services: Deliveries for in-town will go out at Noon, 2pm, 4pm and 6pm. ""In-town"" service will be available as far south as Melody Ranch. ""In-town"" service will not go past Dairy Queen, north of town. ""Westbank"" deliveries will service Wilson proper and down TV Road at 3pm. We will not service Fish Creek Road or Fall Creek Road.
""In-town"" delivery fee is reduced to $5.00 and ""Westbank"" delivery fee is reduced to $10.00.  Minimum order for in town is reduced to $25.00 and minimum purchase for a Westbank delivery is $50.00.
We are working to acquire more vehicles to keep up with the demand for deliveries. In the meantime, please plan ahead.
We will offer in store pick up at no charge. The best way to order is through the TLSofJH website. Phone orders will be accepted as well. We have suspended cash transactions as recommended by the health department.
If you have any questions, please contact one of our team members at 307.733.4466",,,Online Menu,https://www.theliquorstorejacksonhole.com/,,,,,,Open,,3/20/2020 3:15pm,3/23/2020 8:31pm,35,
The Phoenix and the Dragon,curbside pickup,Tues- Saturday Lunch 11:30am to 2:30pm | Dinner 5:00pm to 7:30pm,(307) 200-6436,Order By Phone,tel:307-200-6436,https://static1.squarespace.com/static/5a1223c3c027d8fee9314c7f/t/5e77c850c54f956f566f4dc7/1584908371068/P%26D+Menu+3.22.20+pdf.pdf,,,,,Open,,3/21/2020 9:34pm,3/23/2020 8:31pm,36,
Jackson Drug,Takeout and curbside delivery is available daily from 11:30 a.m.-8 p.m.; call 307-201-1275 or order online.,,(307) 201-1275,Online Menu,,https://jacksondrug.com/food-and-drink/,,,,,Open,,3/23/2020 8:14pm,3/23/2020 8:31pm,,
